,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15,DFFPOSX1_16,DFFPOSX1_17,DFFPOSX1_18,DFFPOSX1_19,DFFPOSX1_20,DFFPOSX1_21,DFFPOSX1_22,DFFPOSX1_23,DFFPOSX1_24,DFFPOSX1_25,DFFPOSX1_26,DFFPOSX1_27,DFFPOSX1_28,DFFPOSX1_29,DFFPOSX1_30,DFFPOSX1_31,DFFPOSX1_32,DFFPOSX1_33,DFFPOSX1_34,DFFPOSX1_35,DFFPOSX1_36,DFFPOSX1_37,DFFPOSX1_38,DFFPOSX1_39,DFFPOSX1_40,DFFPOSX1_41,DFFPOSX1_42,DFFPOSX1_43,DFFPOSX1_44,DFFPOSX1_45,DFFPOSX1_46,DFFPOSX1_47,DFFPOSX1_48,DFFPOSX1_49,DFFPOSX1_50,DFFPOSX1_51
average_neighbour_degree,0.0,1.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5714285714285714,1.6666666666666667,1.6,1.75,1.75,2.0,1.6666666666666667,1.5,2.0,1.3333333333333333,1.0,1.3333333333333333,1.5,1.0,1.0,1.3333333333333333,1.0
betweenness_centrality,0.0002627731646488873,0.010480667857905015,0.0007023210036979352,0.0007118763915033491,0.000692765615892521,0.0007023210036979352,0.000692765615892521,0.0007023210036979352,0.0006832102280871069,0.000692765615892521,0.000692765615892521,0.0007023210036979352,0.0006832102280871069,0.000692765615892521,0.0006832102280871069,0.000692765615892521,0.0006736548402816927,0.0006832102280871069,0.000578100962227552,0.000578100962227552,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.0005637678805194309,0.0005637678805194309,0.003629056660264557,0.003982606009064878,0.003359116954761609,0.006195076427176797,0.006195076427176796,0.006147299488149727,0.036440665819422284,0.007271650119920117,0.01296705939310547,0.005606623794826713,0.002881745705649464,0.008408741268764394,0.004393089543539125,0.005855063877767479,0.009128182342280359,0.020298032545650862,0.018136126054675933
closeness_centrality,0.020136596016615188,0.008086689309396732,0.02969103758086966,0.030031514920438224,0.029438652839951607,0.029780626183248088,0.029438652839951607,0.029780626183248088,0.029105361750694718,0.029448148743768325,0.029438652839951607,0.029780626183248088,0.029105361750694718,0.029448148743768325,0.029105361750694718,0.029448148743768325,0.028772651062338374,0.029116279362640617,0.021199169995973863,0.021199169995973863,0.021051166512987357,0.021051166512987357,0.021051166512987357,0.021051166512987357,0.020869708797211985,0.020869708797211985,0.021051166512987357,0.021051166512987357,0.020869708797211985,0.020869708797211985,0.020869708797211985,0.020869708797211985,0.020688260689112056,0.020688260689112056,0.007368995633187774,0.007368995633187774,0.007368995633187774,0.007368995633187774,0.007368995633187774,0.007368995633187774,0.01760475349178306,0.014105337660083062,0.014148605567015832,0.011021374945871354,0.010968954613191823,0.015048761549256644,0.012382403798247413,0.012267142060763727,0.011473744813052642,0.015556308313143884,0.012550871877135134
clustering,0.0,0.06666666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degree,3.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,11.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,5.0,6.0
degree_centrality,0.006550218340611353,0.013100436681222708,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.008733624454148471,0.01965065502183406,0.024017467248908297,0.015283842794759825,0.013100436681222708,0.013100436681222708,0.010917030567685587,0.010917030567685587,0.008733624454148471,0.008733624454148471,0.010917030567685587,0.008733624454148471,0.010917030567685587,0.008733624454148471,0.008733624454148471,0.013100436681222708,0.010917030567685587,0.013100436681222708
has_feedback_path,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.048238422534423835,0.04823866005955227,0.04824158047630562,0.0482455234722189,0.0482415891422307,0.04824553213814398,0.0482415891422307,0.04824553213814398,0.0482415978081558,0.048245540804069065,0.0482415891422307,0.04824553213814398,0.0482415978081558,0.048245540804069065,0.0482415978081558,0.048245540804069065,0.04824160647408088,0.04824554946999415,0.048153366085817405,0.048153366085817405,0.04815337041877995,0.04815337041877995,0.04815337041877995,0.04815337041877995,0.048153374751742486,0.048153374751742486,0.04815337041877995,0.04815337041877995,0.048153374751742486,0.048153374751742486,0.048153374751742486,0.048153374751742486,0.04815337908470503,0.04815337908470503,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.04815230096484343,0.0482450543305473,0.048192346204657184,0.04824379343844756,0.0481440328845018,0.0481448640254985,0.04822381926894001,0.04814451108600416,0.048227633851599776,0.048144127815772035,0.048249653967238536,0.048154580890951926
load_centrality,0.0002627731646488873,0.010479871575587895,0.0007023210036979352,0.0007118763915033491,0.000692765615892521,0.0007023210036979352,0.000692765615892521,0.0007023210036979352,0.0006832102280871069,0.000692765615892521,0.000692765615892521,0.0007023210036979352,0.0006832102280871069,0.000692765615892521,0.0006832102280871069,0.000692765615892521,0.0006736548402816927,0.0006832102280871069,0.000578100962227552,0.000578100962227552,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.0005733232683248449,0.0005733232683248449,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.000568545574422138,0.0005637678805194309,0.0005637678805194309,0.003607158896543816,0.0039607082453441385,0.0034029124822030896,0.006141725511929903,0.006141725511929903,0.006239668236935396,0.036187448042578806,0.007271650119920117,0.012965466828471231,0.005606623794826713,0.0028833382702836995,0.008408741268764394,0.004393089543539125,0.005855063877767479,0.009126589777646127,0.020298032545650862,0.01813851490162728
outdegree,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,9.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0
pagerank,0.009548348995674244,0.0037227487049115546,0.003966506067579705,0.004434354967122735,0.003964534758115296,0.004432383657658327,0.0039574784727967535,0.0044253273723397855,0.0039555071633323455,0.004423356062875376,0.0039306445580100146,0.004398493457553046,0.003928673248545605,0.004396522148088635,0.003921616963227063,0.004389465862770094,0.0039196456537626545,0.004387494553305686,0.0034079273852397106,0.0034079273852397106,0.0034201451675778113,0.0034201451675778113,0.0034201451675778113,0.0034201451675778113,0.003432362949915913,0.003432362949915913,0.003389567098100081,0.003389567098100081,0.003401784880438182,0.003401784880438182,0.003401784880438182,0.003401784880438182,0.003414002662776283,0.003414002662776283,0.002655844122834627,0.002609144670399181,0.0027442899361522395,0.0028267128893407064,0.0028267128893407073,0.002975818222953253,0.005659985110632725,0.0019476247260024609,0.004030556644233539,0.0016107928618794493,0.0017654648045708691,0.002795355656822234,0.0017001319010415744,0.0021262382648643413,0.0018995918159535321,0.004668632489046664,0.004317686803605739
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
similarity__score,0.0,0.0,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
