,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15,DFFPOSX1_16,DFFPOSX1_17,DFFPOSX1_18,DFFPOSX1_19,DFFPOSX1_20,DFFPOSX1_21,DFFPOSX1_22,DFFPOSX1_23,DFFPOSX1_24,DFFPOSX1_25,DFFPOSX1_26,DFFPOSX1_27,DFFPOSX1_28,DFFPOSX1_29,DFFPOSX1_30,DFFPOSX1_31,DFFPOSX1_32,DFFPOSX1_33,DFFPOSX1_34,DFFPOSX1_35,DFFPOSX1_36,DFFPOSX1_37,DFFPOSX1_38,DFFPOSX1_39,DFFPOSX1_40,DFFPOSX1_41,DFFPOSX1_42,DFFPOSX1_43,DFFPOSX1_44,DFFPOSX1_45,DFFPOSX1_46,DFFPOSX1_47,DFFPOSX1_48,DFFPOSX1_49,DFFPOSX1_50,DFFPOSX1_51,DFFPOSX1_52,DFFPOSX1_53,DFFPOSX1_54,DFFPOSX1_55,DFFPOSX1_56,DFFPOSX1_57,DFFPOSX1_58,DFFPOSX1_59,DFFPOSX1_60,DFFPOSX1_61,DFFPOSX1_62,DFFPOSX1_63,DFFPOSX1_64,DFFPOSX1_65,DFFPOSX1_66,DFFPOSX1_67,DFFPOSX1_68,DFFPOSX1_69,DFFPOSX1_70,DFFPOSX1_71,DFFPOSX1_72,DFFPOSX1_73,DFFPOSX1_74,DFFPOSX1_75
average_neighbour_degree,1.75,1.3333333333333333,1.6666666666666667,1.25,1.6,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
betweenness_centrality,0.00908279781297652,0.0017692779994567054,0.0006395148605065543,0.002259005571993239,0.00124085684430512,0.0009617658120049259,0.0011495499634185766,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,1.892142591865723e-05,1.8481392757758223e-05,1.9361459079556233e-05,1.892142591865723e-05
closeness_centrality,0.009266560081392393,0.00721171520193651,0.005970510908575857,0.0061052246023614145,0.006554834166101207,0.005856786891269651,0.005851720466623224,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005918981548955022,0.005239860345961142,0.0052221485411140574,0.005074385883981086,0.005066641822127715
clustering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degree,6.0,5.0,5.0,6.0,7.0,5.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
degree_centrality,0.003978779840848806,0.003315649867374005,0.003315649867374005,0.003978779840848806,0.004641909814323607,0.003315649867374005,0.005305039787798408,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.026651719541358684,0.026646841488270002,0.026614907864192152,0.026648505944386343,0.02665134966222172,0.026645810178205758,0.026648225271394186,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.026648229622913442,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.02664920653898695,0.026649230472342876,0.02664915432075585,0.02664917825411177
load_centrality,0.009084099577744179,0.00176843826950799,0.00063925817449603,0.002260285335102853,0.0012404534805742962,0.0009609224151132027,0.00114909159554264,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,1.0560795861576127e-05,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,1.892142591865723e-05,1.8481392757758223e-05,1.9361459079556233e-05,1.892142591865723e-05
outdegree,4.0,3.0,3.0,4.0,5.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
pagerank,0.0030989388531728504,0.002044135419747997,0.0006058501763610692,0.0012679048665349148,0.0014042912044204027,0.0010587454585048446,0.0011746539572464038,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0009687298635902151,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.0009794828661299462,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.0009687298635902151,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009687298635902151,0.0009622780620663761,0.0003837934891149984,0.0005281200258150456,0.0006353293146207197,0.0005598342957705716
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
xx_state_ff,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euclidean,0.0,0.4666666666666667,0.4666666666666667,0.0,0.6133333333333333,0.5866666666666667,0.48,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.0,0.05333333333333334,0.04,0.04
fastRELIC_score,0.0,0.013333333333333334,0.09333333333333334,0.0,0.32,0.02666666666666667,0.013333333333333334,0.10666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.3466666666666667,0.3333333333333333,0.3466666666666667,0.37333333333333335,0.3466666666666667,0.3466666666666667,0.37333333333333335,0.3333333333333333,0.36,0.36,0.3333333333333333,0.36,0.3466666666666667,0.3333333333333333,0.36,0.3466666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32,0.32,0.32,0.32,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.4,0.4,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.02666666666666667,0.38666666666666666,0.14666666666666667,0.17333333333333334
