,DFFPOSX1_10_MEMORY_INTERFACE,DFFPOSX1_11_MEMORY_INTERFACE,DFFPOSX1_12_MEMORY_INTERFACE,DFFPOSX1_13_MEMORY_INTERFACE,DFFPOSX1_14_MEMORY_INTERFACE,DFFPOSX1_15_MEMORY_INTERFACE,DFFPOSX1_16_MEMORY_INTERFACE,DFFPOSX1_17_MEMORY_INTERFACE,DFFPOSX1_18_MEMORY_INTERFACE,DFFPOSX1_19_MEMORY_INTERFACE,DFFPOSX1_1_MEMORY_INTERFACE,DFFPOSX1_20_MEMORY_INTERFACE,DFFPOSX1_21_MEMORY_INTERFACE,DFFPOSX1_22_MEMORY_INTERFACE,DFFPOSX1_23_MEMORY_INTERFACE,DFFPOSX1_24_MEMORY_INTERFACE,DFFPOSX1_25_MEMORY_INTERFACE,DFFPOSX1_26_MEMORY_INTERFACE,DFFPOSX1_27_MEMORY_INTERFACE,DFFPOSX1_28_MEMORY_INTERFACE,DFFPOSX1_29_MEMORY_INTERFACE,DFFPOSX1_2_MEMORY_INTERFACE,DFFPOSX1_30_MEMORY_INTERFACE,DFFPOSX1_31_MEMORY_INTERFACE,DFFPOSX1_32_MEMORY_INTERFACE,DFFPOSX1_33_MEMORY_INTERFACE,DFFPOSX1_34_MEMORY_INTERFACE,DFFPOSX1_35_MEMORY_INTERFACE,DFFPOSX1_36_MEMORY_INTERFACE,DFFPOSX1_37_MEMORY_INTERFACE,DFFPOSX1_38_MEMORY_INTERFACE,DFFPOSX1_39_MEMORY_INTERFACE,DFFPOSX1_3_MEMORY_INTERFACE,DFFPOSX1_40_MEMORY_INTERFACE,DFFPOSX1_41_MEMORY_INTERFACE,DFFPOSX1_42_MEMORY_INTERFACE,DFFPOSX1_43_MEMORY_INTERFACE,DFFPOSX1_44_MEMORY_INTERFACE,DFFPOSX1_45_MEMORY_INTERFACE,DFFPOSX1_46_MEMORY_INTERFACE,DFFPOSX1_47_MEMORY_INTERFACE,DFFPOSX1_48_MEMORY_INTERFACE,DFFPOSX1_49_MEMORY_INTERFACE,DFFPOSX1_4_MEMORY_INTERFACE,DFFPOSX1_50_MEMORY_INTERFACE,DFFPOSX1_51_MEMORY_INTERFACE,DFFPOSX1_52_MEMORY_INTERFACE,DFFPOSX1_53_MEMORY_INTERFACE,DFFPOSX1_54_MEMORY_INTERFACE,DFFPOSX1_55_MEMORY_INTERFACE,DFFPOSX1_56_MEMORY_INTERFACE,DFFPOSX1_57_MEMORY_INTERFACE,DFFPOSX1_58_MEMORY_INTERFACE,DFFPOSX1_59_MEMORY_INTERFACE,DFFPOSX1_5_MEMORY_INTERFACE,DFFPOSX1_60_MEMORY_INTERFACE,DFFPOSX1_61_MEMORY_INTERFACE,DFFPOSX1_62_MEMORY_INTERFACE,DFFPOSX1_63_MEMORY_INTERFACE,DFFPOSX1_64_MEMORY_INTERFACE,DFFPOSX1_65_MEMORY_INTERFACE,DFFPOSX1_66_MEMORY_INTERFACE,DFFPOSX1_67_MEMORY_INTERFACE,DFFPOSX1_68_MEMORY_INTERFACE,DFFPOSX1_69_MEMORY_INTERFACE,DFFPOSX1_6_MEMORY_INTERFACE,DFFPOSX1_70_MEMORY_INTERFACE,DFFPOSX1_71_MEMORY_INTERFACE,DFFPOSX1_72_MEMORY_INTERFACE,DFFPOSX1_73_MEMORY_INTERFACE,DFFPOSX1_74_MEMORY_INTERFACE,DFFPOSX1_75_MEMORY_INTERFACE,DFFPOSX1_7_MEMORY_INTERFACE,DFFPOSX1_8_MEMORY_INTERFACE,DFFPOSX1_9_MEMORY_INTERFACE
average_neighbour_degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.6666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
betweenness_centrality,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,0.00908279781297652,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,0.0017692779994567056,9.240696378879111e-06,9.240696378879111e-06,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,0.0006395148605065543,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.002259005571993239,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.00124085684430512,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.0009617658120049261,5.456411195147666e-05,5.456411195147666e-05,1.892142591865723e-05,1.8481392757758223e-05,1.9361459079556233e-05,1.892142591865723e-05,0.0011495499634185764,6.160464252586075e-06,6.160464252586075e-06
closeness_centrality,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.002548499505903157,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.009266560081392391,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.004107127577650381,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.003797926211719315,0.00721171520193651,0.003797926211719315,0.003797926211719315,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.004352192835621024,0.005970510908575857,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.006105224602361414,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.006554834166101207,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005918981548955023,0.005856786891269651,0.005918981548955023,0.005918981548955023,0.0052398603459611415,0.005222148541114058,0.005074385883981086,0.005066641822127715,0.005851720466623224,0.002548499505903157,0.002548499505903157
clustering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degree,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0
degree_centrality,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.003978779840848806,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.003315649867374005,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.003315649867374005,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.003978779840848806,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.004641909814323607,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.002652519893899204,0.003315649867374005,0.002652519893899204,0.002652519893899204,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.001989389920424403,0.005305039787798408,0.001989389920424403,0.001989389920424403
has_feedback_path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.026595006190863805,0.02664822962291344,0.02664822962291344,0.02664822962291344,0.02664822962291344,0.026651719541358684,0.02664822962291344,0.02664822962291344,0.02664822962291344,0.02664822962291344,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.0266478989074498,0.026646841488270005,0.0266478989074498,0.0266478989074498,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026648645193002616,0.026614907864192152,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026648505944386343,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.02665134966222172,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026597721538881056,0.026645810178205758,0.026597721538881056,0.026597721538881056,0.02664920653898695,0.026649230472342873,0.02664915432075585,0.02664917825411177,0.026648225271394183,0.026595006190863805,0.026595006190863805
load_centrality,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,6.160464252586075e-06,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,0.009084099577744179,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,1.0560795861576129e-05,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,9.240696378879111e-06,0.0017684382695079901,9.240696378879111e-06,9.240696378879111e-06,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,1.144086218337414e-05,0.00063925817449603,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.0022602853351028534,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.001240453480574296,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,5.456411195147666e-05,0.0009609224151132029,5.456411195147666e-05,5.456411195147666e-05,1.892142591865723e-05,1.8481392757758223e-05,1.9361459079556233e-05,1.892142591865723e-05,0.00114909159554264,6.160464252586075e-06,6.160464252586075e-06
outdegree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
pagerank,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.000384945021491698,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0030989388531728504,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0007131814760672043,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0008284337493826204,0.0020441354197479967,0.0008284337493826204,0.0008284337493826204,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0009904716978328103,0.0006058501763610692,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.0010009888712094084,0.000968729863590215,0.000979482866129946,0.000979482866129946,0.0012679048665349148,0.000979482866129946,0.0009794828661299462,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000968729863590215,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.0014042912044204027,0.000979482866129946,0.000979482866129946,0.000979482866129946,0.000968729863590215,0.000968729863590215,0.000968729863590215,0.000968729863590215,0.000968729863590215,0.000968729863590215,0.000968729863590215,0.0010587454585048446,0.000968729863590215,0.0009622780620663762,0.0003837934891149984,0.0005281200258150456,0.0006353293146207197,0.0005598342957705716,0.0011746539572464038,0.000384945021491698,0.000384945021491698
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
