,DFFPOSX1_10_uart,DFFPOSX1_11_uart,DFFPOSX1_12_uart,DFFPOSX1_13_uart,DFFPOSX1_14_uart,DFFPOSX1_15_uart,DFFPOSX1_16_uart,DFFPOSX1_17_uart,DFFPOSX1_18_uart,DFFPOSX1_19_uart,DFFPOSX1_1_uart,DFFPOSX1_20_uart,DFFPOSX1_21_uart,DFFPOSX1_22_uart,DFFPOSX1_23_uart,DFFPOSX1_24_uart,DFFPOSX1_25_uart,DFFPOSX1_26_uart,DFFPOSX1_27_uart,DFFPOSX1_28_uart,DFFPOSX1_29_uart,DFFPOSX1_2_uart,DFFPOSX1_30_uart,DFFPOSX1_31_uart,DFFPOSX1_32_uart,DFFPOSX1_33_uart,DFFPOSX1_34_uart,DFFPOSX1_35_uart,DFFPOSX1_36_uart,DFFPOSX1_37_uart,DFFPOSX1_38_uart,DFFPOSX1_39_uart,DFFPOSX1_3_uart,DFFPOSX1_40_uart,DFFPOSX1_41_uart,DFFPOSX1_42_uart,DFFPOSX1_43_uart,DFFPOSX1_44_uart,DFFPOSX1_45_uart,DFFPOSX1_46_uart,DFFPOSX1_47_uart,DFFPOSX1_48_uart,DFFPOSX1_49_uart,DFFPOSX1_4_uart,DFFPOSX1_50_uart,DFFPOSX1_51_uart,DFFPOSX1_52_uart,DFFPOSX1_53_uart,DFFPOSX1_54_uart,DFFPOSX1_55_uart,DFFPOSX1_56_uart,DFFPOSX1_57_uart,DFFPOSX1_58_uart,DFFPOSX1_59_uart,DFFPOSX1_5_uart,DFFPOSX1_60_uart,DFFPOSX1_61_uart,DFFPOSX1_62_uart,DFFPOSX1_63_uart,DFFPOSX1_64_uart,DFFPOSX1_6_uart,DFFPOSX1_7_uart,DFFPOSX1_8_uart,DFFPOSX1_9_uart
average_neighbour_degree,1.3333333333333333,1.5,1.3333333333333333,1.0,2.0,2.0,1.6666666666666667,1.5,1.5,2.0,1.6666666666666667,1.0,2.25,2.0,2.0,3.0,2.0,1.5,2.0,1.5,1.5,1.3333333333333333,1.6666666666666667,1.25,1.25,1.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.5,2.0,1.25,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.0,1.5,1.25,1.5,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.0,1.0,1.0,1.4,2.0,1.5,2.5,2.0,1.5
betweenness_centrality,0.0028720111463353282,0.004457725788980942,0.007855528267806007,0.004035292319404822,0.007657777816970237,0.004356425530163741,0.005343708067130805,0.004217720968308488,0.0052375577415149565,0.0038572728221362945,0.010467808888891691,0.004915322242847254,0.04478786836624764,0.04227762811157506,0.022041091823522225,0.010201454138209264,0.011194395086441416,0.010080974069779237,0.007863721941261278,0.005557845864877139,0.005114652639685598,0.006238949563714427,0.008775461013546414,0.009683709507453672,0.00989972119464494,0.0065766170931051155,0.0008686028721213751,0.0021274156639520987,0.002533057614384416,0.0027535151961411105,0.0027887884092221817,0.0026388772536276293,0.012717835711230772,0.002303781729357454,0.0018143658978575933,0.0017030348190704627,0.004110064182550635,0.052486173635330764,0.004323908036854627,0.004567881093998704,0.007578229372886362,0.010220486976100932,0.0075550078409413225,0.005048478622228291,0.002485659234306727,0.006764740896204134,0.008902812009941167,0.008627240032745299,0.0032179458350418797,0.00205650180848703,0.0026440212638686187,0.0030386403352131003,0.0031554828535441484,0.0029945488188617628,0.006132725752238013,0.002560247382801077,0.001899976925439777,0.0006499824368793202,0.004186526220489916,0.007774993013594258,0.005059648473037303,0.012786135569655046,0.003252484189517095,0.007814654382350291
closeness_centrality,0.02118201903530052,0.028535103757655684,0.02886555114449502,0.026230039665811635,0.028306365450981093,0.026246286206329322,0.026853377110341376,0.026467600924496373,0.029223882124219787,0.027418071226217207,0.03491010647582475,0.02831582297368439,0.04248525525613416,0.03937810594810666,0.042083566741263685,0.03760381787384671,0.035335050878547145,0.04154671974798683,0.03893036655102906,0.03959998732800406,0.039658793367992176,0.030931470296509077,0.03825011666285582,0.036907450876182885,0.0380430647492962,0.038794641856487413,0.03929792519853107,0.03985302353254875,0.040199404808812386,0.040299863360003574,0.04012203244866346,0.039641976019699286,0.034809999288328904,0.038868626045246595,0.03786537389131081,0.03663053020408253,0.02598873295315467,0.034076903160529706,0.027137130374715778,0.02875780731599504,0.035385911549159654,0.035895492655754924,0.029013782321204173,0.031702553957746835,0.03033259060853163,0.03033259060853163,0.031146364630737736,0.03076198118338925,0.02639341580823338,0.035659431082014734,0.035437465464713165,0.03499087158474947,0.03429532171870548,0.03333390403706811,0.03145610300825198,0.03212038468861305,0.03056228232734935,0.028660721678666404,0.025828076841398387,0.03474659309654689,0.031627465009481215,0.035876184113387874,0.03200650941275879,0.035646331358790626
clustering,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
degree,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,6.0,7.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0,4.0,4.0,3.0,4.0
degree_centrality,0.00741839762611276,0.005934718100890208,0.00741839762611276,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.00741839762611276,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.00741839762611276,0.005934718100890208,0.008902077151335312,0.010385756676557865,0.008902077151335312,0.004451038575667656,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.00741839762611276,0.00741839762611276,0.008902077151335312,0.008902077151335312,0.005934718100890208,0.005934718100890208,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.005934718100890208,0.00741839762611276,0.008902077151335312,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.005934718100890208,0.00741839762611276,0.008902077151335312,0.008902077151335312,0.005934718100890208,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.00741839762611276,0.005934718100890208,0.010385756676557865,0.00741839762611276,0.005934718100890208,0.005934718100890208,0.004451038575667656,0.005934718100890208
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.03887113592715974,0.03895051613515713,0.03894698622509144,0.03891146453754632,0.038951957544248905,0.03887156869966667,0.03891086132707928,0.03887192293080019,0.03895134384039999,0.03887192165887511,0.038951276428371,0.03891169284809737,0.03895201605280237,0.03894844957489076,0.038951495199483974,0.03891192815423633,0.03893978744714556,0.03894851348912581,0.03893943130812443,0.03891193228799283,0.03891193228799283,0.038911428605662934,0.03894380609442151,0.0389473512675881,0.03895092696695651,0.03894741836163583,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038911693166078634,0.038947355083363326,0.038911693166078634,0.03891162225625568,0.038951548620337145,0.03893614942344846,0.03895074476368945,0.03887160399558751,0.0389076939156601,0.03894662309048239,0.03895165895983744,0.03891082666712097,0.038872282567615275,0.0389076939156601,0.038947705816702885,0.03895125257977583,0.038950955267289436,0.03893593160627929,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.038951269114801804,0.03887227875184005,0.038951269114801804,0.038951191527372205,0.038942729091863845,0.03887145390842861,0.038951236998693656,0.03887224822563824,0.038939919409372144,0.03887185074905215,0.03893991559359692
load_centrality,0.002925472109911332,0.004457376731143161,0.0077755389085586045,0.003968512043597691,0.00765649181440999,0.00443670883285347,0.0053576703806420605,0.004221211546686302,0.005206656937138725,0.0038883205982336937,0.010297573643855185,0.004915652929219889,0.04474021278565791,0.0422869332586717,0.021966255660248412,0.010258166851116177,0.011215228327917425,0.010031095541906782,0.007903404305977487,0.005497660945057561,0.005108553313256996,0.006258239602118156,0.00886019021080154,0.009676985551210092,0.01014049761685354,0.00633402189584702,0.0008686028721213751,0.0021274156639520987,0.002533057614384416,0.0027535151961411105,0.0027887884092221817,0.0026388772536276293,0.013001210312123843,0.002303781729357454,0.0018143658978575933,0.0017030348190704627,0.004110982755807955,0.05275549931437692,0.0043226220342943815,0.0045695345258618784,0.0076316903364623614,0.010206634891380548,0.00755838819052826,0.005105522021507842,0.002485659234306727,0.006420275924709327,0.009088914951874109,0.008697051600301585,0.0031966349354720655,0.002027107464252803,0.002614626919634393,0.0030092459909788756,0.0031260885093099236,0.0029651544746275367,0.0061780481567541585,0.0025308530385668494,0.0018705825812055502,0.0006497987222278561,0.0042057795159633335,0.007606888858514733,0.0050209214245087105,0.012833386978011561,0.003254229478706002,0.007819630424909943
outdegree,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0
pagerank,0.0006077155176558209,0.0017075802645934693,0.0018206976172608755,0.0016327107525422374,0.0025157277318904325,0.0010516089210629673,0.001386688979041654,0.0011471217426989185,0.0018210999190849616,0.0009967328383772979,0.0021133789990943545,0.0014823248045822278,0.004207911690517169,0.002615776198059602,0.00304512522939386,0.0015193650301601677,0.0027894890053103295,0.002395444445853163,0.002008373423841159,0.0019390911086023073,0.002049460945128983,0.0013830280320380726,0.0017568438108164024,0.003672675496194925,0.0035204635202003448,0.003019821235223494,0.00196842410966965,0.001714503446340741,0.001714503446340741,0.001714503446340741,0.001712618953271438,0.001698983407418328,0.0017588809590544604,0.0016364967092137223,0.0013018422725412121,0.0034445039226163746,0.001463298038050099,0.002059903388742515,0.001037416520784871,0.0013776058452916711,0.0015166864743646788,0.001896940058978046,0.002351964346240339,0.0009597298222280391,0.0015974584942654762,0.00275986035179456,0.004280417988627638,0.003928656196867653,0.001606379645405684,0.003332484621960607,0.0033332451588620835,0.003335283150391208,0.00333493371223434,0.00335125678216056,0.000952853166513899,0.0033835300494732454,0.003445069117517419,0.001561153850881464,0.0005938511451452208,0.0018735718054359387,0.0010566753118019087,0.0016310008812801527,0.0010445616345133855,0.0018095968426978576
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
